ArticleID,PMID,Titulo,Autores,Afiliações,Linguagem,País,Tipo de Publicação,Campo,Pergunta,PerguntaContextualizada,Resposta
66,30262927,Sharing data for future research-engaging participants' views about data governance beyond the original project: a DIRECT Study.,Shah N; Coathup V; Teare H; Forgie I; Giordano GN; Hansen TH; Groeneveld L; Hudson M; Pearson E; Ruetten H; Kaye J,"NIHR Exeter Clinical Research Facility, University of Exeter Medical School, Exeter, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK. Nisha.shah@dph.ox.ac.uk.; Division of Population Health & Genomics, School of Medicine, University of Dundee, Dundee, UK.; The Novo Nordisk Foundation Center for Basic Metabolic Research, Section of Metabolic Genetics, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.; Division of Molecular and Clinical Medicine, University of Dundee, Dundee, UK.; Department of Epidemiology and Biostatistics, Vrije Universiteit Medical centre, Amsterdam, The Netherlands.; Department of Clinical Sciences, Genetic and Molecular Epidemiology Unit, Lund University, Malmö, Sweden.; Translational Medicine & Early Development, Sanofi-Aventis Deutschland GmbH, Frankfurt, Germany.",eng,United States,Journal Article,Introduction,"Does the text provide data or references that contextualize the problem? (If so, transcribe)","According to the introduction of the article, Does the text provide data or references that contextualize the problem? (If so, transcribe)","According to the introduction of the article, yes, the text provides data and references that contextualize the problem. Here are some examples:

* ""The recent drive to create biobanks and data repositories to store genetic, phenotypic, and other health-related data generated from and for biomedical research is intended to encourage and facilitate data sharing for secondary research purposes."" (Reference: The concept of biobanks and data repositories)
* ""Researchers are increasingly prompted by funders, research organizations, and journals to make their data easily accessible."" (Reference: Funders, research organizations, and journals emphasizing the importance of data sharing)
* ""Data sharing helps to optimize investment from public funds and strengthen the statistical power and rigor of research."" (Reference: The benefits of data sharing in biomedical research)
* ""Researchers have an ethical duty to make better use of data and avoid unnecessary repetition, particularly in genetic studies, which extract human biological samples for analysis."" (Reference: The importance of responsible data use and avoiding repetition in genetic studies)

These references provide context for the problem of data governance and sharing in biomedical research."
66,30262927,Sharing data for future research-engaging participants' views about data governance beyond the original project: a DIRECT Study.,Shah N; Coathup V; Teare H; Forgie I; Giordano GN; Hansen TH; Groeneveld L; Hudson M; Pearson E; Ruetten H; Kaye J,"NIHR Exeter Clinical Research Facility, University of Exeter Medical School, Exeter, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK. Nisha.shah@dph.ox.ac.uk.; Division of Population Health & Genomics, School of Medicine, University of Dundee, Dundee, UK.; The Novo Nordisk Foundation Center for Basic Metabolic Research, Section of Metabolic Genetics, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.; Division of Molecular and Clinical Medicine, University of Dundee, Dundee, UK.; Department of Epidemiology and Biostatistics, Vrije Universiteit Medical centre, Amsterdam, The Netherlands.; Department of Clinical Sciences, Genetic and Molecular Epidemiology Unit, Lund University, Malmö, Sweden.; Translational Medicine & Early Development, Sanofi-Aventis Deutschland GmbH, Frankfurt, Germany.",eng,United States,Journal Article,Introduction,"Is the knowledge gap explicitly stated? (If so, transcribe)","According to the introduction of the article, Is the knowledge gap explicitly stated? (If so, transcribe)","The document does not explicitly state a knowledge gap. However, it mentions that there is a need for a better understanding of public attitudes towards data sharing and the potential benefits and risks involved. The study aims to address this by exploring public opinions on de-identified data sharing for medical research."
66,30262927,Sharing data for future research-engaging participants' views about data governance beyond the original project: a DIRECT Study.,Shah N; Coathup V; Teare H; Forgie I; Giordano GN; Hansen TH; Groeneveld L; Hudson M; Pearson E; Ruetten H; Kaye J,"NIHR Exeter Clinical Research Facility, University of Exeter Medical School, Exeter, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK. Nisha.shah@dph.ox.ac.uk.; Division of Population Health & Genomics, School of Medicine, University of Dundee, Dundee, UK.; The Novo Nordisk Foundation Center for Basic Metabolic Research, Section of Metabolic Genetics, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.; Division of Molecular and Clinical Medicine, University of Dundee, Dundee, UK.; Department of Epidemiology and Biostatistics, Vrije Universiteit Medical centre, Amsterdam, The Netherlands.; Department of Clinical Sciences, Genetic and Molecular Epidemiology Unit, Lund University, Malmö, Sweden.; Translational Medicine & Early Development, Sanofi-Aventis Deutschland GmbH, Frankfurt, Germany.",eng,United States,Journal Article,Introduction,"Is the research objective or question stated? (If so, transcribe)","According to the introduction of the article, Is the research objective or question stated? (If so, transcribe)","According to the introduction of the article, the research objective is not explicitly stated. The introduction provides background information on the importance of sharing medical data and genetic information, but it does not clearly state the research question or objective."
66,30262927,Sharing data for future research-engaging participants' views about data governance beyond the original project: a DIRECT Study.,Shah N; Coathup V; Teare H; Forgie I; Giordano GN; Hansen TH; Groeneveld L; Hudson M; Pearson E; Ruetten H; Kaye J,"NIHR Exeter Clinical Research Facility, University of Exeter Medical School, Exeter, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK. Nisha.shah@dph.ox.ac.uk.; Division of Population Health & Genomics, School of Medicine, University of Dundee, Dundee, UK.; The Novo Nordisk Foundation Center for Basic Metabolic Research, Section of Metabolic Genetics, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.; Division of Molecular and Clinical Medicine, University of Dundee, Dundee, UK.; Department of Epidemiology and Biostatistics, Vrije Universiteit Medical centre, Amsterdam, The Netherlands.; Department of Clinical Sciences, Genetic and Molecular Epidemiology Unit, Lund University, Malmö, Sweden.; Translational Medicine & Early Development, Sanofi-Aventis Deutschland GmbH, Frankfurt, Germany.",eng,United States,Journal Article,Methodology,"Is the study design specified? (If so, indicate which)","According to the methodology of the article, Is the study design specified? (If so, indicate which)","According to the document, yes, the study design is specified. The survey used a quantitative approach with closed-ended questions to gather data from research participants. Additionally, the survey aimed to determine which types of data respondents were content to share outside of the DIRECT consortium and to consider whether their views varied by data type."
66,30262927,Sharing data for future research-engaging participants' views about data governance beyond the original project: a DIRECT Study.,Shah N; Coathup V; Teare H; Forgie I; Giordano GN; Hansen TH; Groeneveld L; Hudson M; Pearson E; Ruetten H; Kaye J,"NIHR Exeter Clinical Research Facility, University of Exeter Medical School, Exeter, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK. Nisha.shah@dph.ox.ac.uk.; Division of Population Health & Genomics, School of Medicine, University of Dundee, Dundee, UK.; The Novo Nordisk Foundation Center for Basic Metabolic Research, Section of Metabolic Genetics, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.; Division of Molecular and Clinical Medicine, University of Dundee, Dundee, UK.; Department of Epidemiology and Biostatistics, Vrije Universiteit Medical centre, Amsterdam, The Netherlands.; Department of Clinical Sciences, Genetic and Molecular Epidemiology Unit, Lund University, Malmö, Sweden.; Translational Medicine & Early Development, Sanofi-Aventis Deutschland GmbH, Frankfurt, Germany.",eng,United States,Journal Article,Methodology,"Is the data capture platform or digital system (EHR, app, sensor) described with name, version, and format? (If so, summarize)","According to the methodology of the article, Is the data capture platform or digital system (EHR, app, sensor) described with name, version, and format? (If so, summarize)","Based on the provided document, there is no mention of a specific data capture platform or digital system (EHR, app, sensor) being described by name, version, and format. The article discusses the methodology used to collect survey data from patients with type 2 diabetes, including clinic follow-up visits and post surveys, but does not provide information on any specific technology platforms used for data collection."
66,30262927,Sharing data for future research-engaging participants' views about data governance beyond the original project: a DIRECT Study.,Shah N; Coathup V; Teare H; Forgie I; Giordano GN; Hansen TH; Groeneveld L; Hudson M; Pearson E; Ruetten H; Kaye J,"NIHR Exeter Clinical Research Facility, University of Exeter Medical School, Exeter, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK. Nisha.shah@dph.ox.ac.uk.; Division of Population Health & Genomics, School of Medicine, University of Dundee, Dundee, UK.; The Novo Nordisk Foundation Center for Basic Metabolic Research, Section of Metabolic Genetics, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.; Division of Molecular and Clinical Medicine, University of Dundee, Dundee, UK.; Department of Epidemiology and Biostatistics, Vrije Universiteit Medical centre, Amsterdam, The Netherlands.; Department of Clinical Sciences, Genetic and Molecular Epidemiology Unit, Lund University, Malmö, Sweden.; Translational Medicine & Early Development, Sanofi-Aventis Deutschland GmbH, Frankfurt, Germany.",eng,United States,Journal Article,Methodology,"Does the article report ethical approval or study registration? (If so, write the number/platform)","According to the methodology of the article, Does the article report ethical approval or study registration? (If so, write the number/platform)","According to the provided document, yes, the article reports ethical approval."
66,30262927,Sharing data for future research-engaging participants' views about data governance beyond the original project: a DIRECT Study.,Shah N; Coathup V; Teare H; Forgie I; Giordano GN; Hansen TH; Groeneveld L; Hudson M; Pearson E; Ruetten H; Kaye J,"NIHR Exeter Clinical Research Facility, University of Exeter Medical School, Exeter, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK. Nisha.shah@dph.ox.ac.uk.; Division of Population Health & Genomics, School of Medicine, University of Dundee, Dundee, UK.; The Novo Nordisk Foundation Center for Basic Metabolic Research, Section of Metabolic Genetics, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.; Division of Molecular and Clinical Medicine, University of Dundee, Dundee, UK.; Department of Epidemiology and Biostatistics, Vrije Universiteit Medical centre, Amsterdam, The Netherlands.; Department of Clinical Sciences, Genetic and Molecular Epidemiology Unit, Lund University, Malmö, Sweden.; Translational Medicine & Early Development, Sanofi-Aventis Deutschland GmbH, Frankfurt, Germany.",eng,United States,Journal Article,Data analysis,"Are statistical/analytical methods described? (If so, list them)","According to the data analysis of the article, Are statistical/analytical methods described? (If so, list them)","According to the provided document, Table 2 and Table 3 contain analytical results. However, there are no statistical or analytical methods explicitly described in these tables.

The document does not provide information on statistical/analytical methods used for data analysis. If you need assistance with any other topic from this document, feel free to ask!"
66,30262927,Sharing data for future research-engaging participants' views about data governance beyond the original project: a DIRECT Study.,Shah N; Coathup V; Teare H; Forgie I; Giordano GN; Hansen TH; Groeneveld L; Hudson M; Pearson E; Ruetten H; Kaye J,"NIHR Exeter Clinical Research Facility, University of Exeter Medical School, Exeter, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK. Nisha.shah@dph.ox.ac.uk.; Division of Population Health & Genomics, School of Medicine, University of Dundee, Dundee, UK.; The Novo Nordisk Foundation Center for Basic Metabolic Research, Section of Metabolic Genetics, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.; Division of Molecular and Clinical Medicine, University of Dundee, Dundee, UK.; Department of Epidemiology and Biostatistics, Vrije Universiteit Medical centre, Amsterdam, The Netherlands.; Department of Clinical Sciences, Genetic and Molecular Epidemiology Unit, Lund University, Malmö, Sweden.; Translational Medicine & Early Development, Sanofi-Aventis Deutschland GmbH, Frankfurt, Germany.",eng,United States,Journal Article,Data analysis,"Are uncertainty measures (CI, p-value, effect size) presented? (If so, list them)","According to the data analysis of the article, Are uncertainty measures (CI, p-value, effect size) presented? (If so, list them)","According to the provided document, yes, uncertainty measures are presented. Here are some examples:

* Confidence intervals (CIs): CI is mentioned in Table 2 and Table 3.
* P-values: p-values are mentioned in Table 2.
* Effect size: effect sizes are not explicitly mentioned, but odds ratios (OR) are reported in Table 2.

Please note that these uncertainty measures are presented to describe the results of statistical analyses performed on the data."
66,30262927,Sharing data for future research-engaging participants' views about data governance beyond the original project: a DIRECT Study.,Shah N; Coathup V; Teare H; Forgie I; Giordano GN; Hansen TH; Groeneveld L; Hudson M; Pearson E; Ruetten H; Kaye J,"NIHR Exeter Clinical Research Facility, University of Exeter Medical School, Exeter, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK. Nisha.shah@dph.ox.ac.uk.; Division of Population Health & Genomics, School of Medicine, University of Dundee, Dundee, UK.; The Novo Nordisk Foundation Center for Basic Metabolic Research, Section of Metabolic Genetics, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.; Division of Molecular and Clinical Medicine, University of Dundee, Dundee, UK.; Department of Epidemiology and Biostatistics, Vrije Universiteit Medical centre, Amsterdam, The Netherlands.; Department of Clinical Sciences, Genetic and Molecular Epidemiology Unit, Lund University, Malmö, Sweden.; Translational Medicine & Early Development, Sanofi-Aventis Deutschland GmbH, Frankfurt, Germany.",eng,United States,Journal Article,Data analysis,"Is model validation or sensitivity analysis provided? (If so, summarize)","According to the data analysis of the article, Is model validation or sensitivity analysis provided? (If so, summarize)","No, model validation or sensitivity analysis is not provided in this document. The document appears to be a survey-based study that presents descriptive statistics and frequency distributions on respondents' attitudes towards sharing their de-identified data with different organizations. It does not include any statistical modeling or sensitivity analyses."
66,30262927,Sharing data for future research-engaging participants' views about data governance beyond the original project: a DIRECT Study.,Shah N; Coathup V; Teare H; Forgie I; Giordano GN; Hansen TH; Groeneveld L; Hudson M; Pearson E; Ruetten H; Kaye J,"NIHR Exeter Clinical Research Facility, University of Exeter Medical School, Exeter, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK.; HeLEX Centre, Nuffield Department of Population Health, University of Oxford, Oxford, UK. Nisha.shah@dph.ox.ac.uk.; Division of Population Health & Genomics, School of Medicine, University of Dundee, Dundee, UK.; The Novo Nordisk Foundation Center for Basic Metabolic Research, Section of Metabolic Genetics, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark.; Division of Molecular and Clinical Medicine, University of Dundee, Dundee, UK.; Department of Epidemiology and Biostatistics, Vrije Universiteit Medical centre, Amsterdam, The Netherlands.; Department of Clinical Sciences, Genetic and Molecular Epidemiology Unit, Lund University, Malmö, Sweden.; Translational Medicine & Early Development, Sanofi-Aventis Deutschland GmbH, Frankfurt, Germany.",eng,United States,Journal Article,Results,"Are the main quantitative results (value and unit) explicitly stated in the text or in a table? (If so, transcribe)","According to the results of the article, Are the main quantitative results (value and unit) explicitly stated in the text or in a table? (If so, transcribe)","According to the document, yes, the main quantitative results are explicitly stated in the text and tables.

Here are some examples:

* ""In total 855 surveys were returned."" (Value: 855; Unit: number of surveys)
* ""Ninety-seven percent were supportive of sharing data postproject..."" (Value: 97%; Unit: percentage)
* ""90% were happy to share data with universities, and 56% with commercial companies."" (Values: 90%, 56%; Units: percentages)

Additionally, Table 1 in the document shows the results of the survey regarding participants' future data governance preferences."
