Downloaded,ID,Type,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Content,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,
,To do,32,"Pesquisadores
Profissionais


",Pesquisadores,Profissionais,,,,"rayyan-197781368,Researcher Requests for Inappropriate Analysis and Reporting: A U.S. Survey of Consulting Biostatisticians.,2018,10,16,Annals of internal medicine,1539-3704 (Electronic),169,8,554-558,Wang MQ and Yan AF and Katz RV,https://pubmed.ncbi.nlm.nih.gov/30304365/,eng,,United States,""BACKGROUND: Inappropriate analysis and reporting of biomedical research remain a problem despite advances in statistical methods and efforts to educate researchers. OBJECTIVE: To determine the frequency and severity of requests biostatisticians receive from researchers for inappropriate analysis and reporting of data during statistical consultations. DESIGN: Online survey. SETTING: United States. PARTICIPANTS: A randomly drawn sample of 522 American Statistical Association members self-identifying as consulting biostatisticians. MEASUREMENTS: The Bioethical Issues in Biostatistical Consulting Questionnaire soliciting reports about the frequency and perceived severity of specific requests for inappropriate analysis and reporting. RESULTS: Of 522 consulting biostatisticians contacted, 390 provided sufficient responses: a completion rate of 74.7%. The 4 most frequently reported inappropriate requests rated as """"most severe"""" by at least 20% of the respondents were, in order of frequency, removing or altering some data records to better support the research hypothesis"," interpreting the statistical findings on the basis of expectation, not actual results", not reporting the presence of key missing data that might bias the results," and ignoring violations of assumptions that would change results from positive to negative. These requests were reported most often by younger biostatisticians. LIMITATIONS: The survey provides information on the reported frequency of inappropriate requests but not on how such requests were handled or whether the requests reflected researchers' maleficence or inadequate knowledge about statistical and research methods. In addition, other inappropriate requests may have been made that were not prespecified in the survey. CONCLUSION: This survey suggests that researchers frequently make inappropriate requests of their biostatistical consultants regarding the analysis and reporting of their data. Understanding the reasons for these requests and how they are handled requires further study. PRIMARY FUNDING SOURCE: U.S. Department of Health and Human Services."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included"""", """"Monique""""=>""""Included""""} | RAYYAN-EXCLUSION-REASONS: wrong study design"",10.7326/M18-1230,""Adult",Aged,"Aged, 80 and over",*Biostatistics,"Data Interpretation, Statistical",
,To do,112,"Pesquisadores



Comitê de Etica",Pesquisadores,,,,Comitê de Etica,"rayyan-197782168,""REVISITING HEALTH INFORMATION TECHNOLOGY ETHICAL, LEGAL, and SOCIAL ISSUES and EVALUATION: TELEHEALTH/TELEMEDICINE and COVID-19."",2020,11,,International journal of medical informatics,1872-8243 (Electronic),143,,104239,Kaplan B,https://pubmed.ncbi.nlm.nih.gov/33152653/,eng,,Ireland,""BACKGROUND: Information technologies have been vital during the COVID-19 pandemic. Telehealth and telemedicine services, especially, fulfilled their promise by allowing patients to receive advice and care at a distance, making it safer for all concerned. Over the preceding years, professional societies, governments, and scholars examined ethical, legal, and social issues (ELSI) related to telemedicine and telehealth. Primary concerns evident from reviewing this literature have been quality of care, access, consent, and privacy. OBJECTIVES: To identify and summarize ethical, legal, and social issues related to information technology in healthcare, as exemplified by telehealth and telemedicine. To expand on prior analyses and address gaps illuminated by the COVID-19 experience. To propose future research directions. METHODS: Literature was identified through searches, forward and backward citation chaining, and the author's knowledge of scholars and works in the area. EU and professional organizations' guidelines, and nineteen scholarly papers were examined and categories created to identify ethical, legal, and social issues they addressed. A synthesis matrix was developed to categorize issues addressed by each source. RESULTS: A synthesis matrix was developed and issues categorized as: quality of care, consent and autonomy, access to care and technology, legal and regulatory, clinician responsibilities, patient responsibilities, changed relationships, commercialization, policy, information needs, and evaluation, with subcategories that fleshed out each category. The literature primarily addressed quality of care, access, consent, and privacy. Other identified considerations were little discussed. These and newer concerns include: usability, tailoring services to each patient, curriculum and training, implementation, commercialization, and licensing and liability. The need for interoperability, data availability, cybersecurity, and informatics infrastructure also is more apparent. These issues are applicable to other information technologies in healthcare. CONCLUSIONS: Clinicians and organizations need updated guidelines for ethical use of telemedicine and telehealth care, and decision- and policy-makers need evidence to inform decisions. The variety of newly implemented telemedicine services is an on-going natural experiment presenting an unparalleled opportunity to develop an evidence-based way forward. The paper recommends evaluation using an applied ethics, context-sensitive approach that explores interactions among multiple factors and considerations. It suggests evaluation questions to investigate ethical, social, and legal issues through multi-method, sociotechnical, interpretive and ethnographic, and interactionist evaluation approaches. Such evaluation can help telehealth, and other information technologies, be integrated into healthcare ethically and effectively."",""RAYYAN-INCLUSION: {""""Monique""""=>""""Included""""}"",10.1016/j.ijmedinf.2020.104239,*COVID-19",Computer Security,Delivery of Health Care/methods,Humans,Medical Informatics/*ethics/*legislation & jurisprudence,Pandemics,Privacy,SARS-CoV-2,
,To do,130,"
Profissionais
População

",,Profissionais,População,,,"rayyan-197782282,Relieving anxiety and depression symptoms through promoting organizational identity and mitigating family-work conflict among medical professionals in digital leadership.,2024,12,23,BMC public health,1471-2458 (Electronic),24,1,3563,Zhou X and Yang XJ and Chen SY and Wen QW and Xie FZ and Zhang SE,https://pubmed.ncbi.nlm.nih.gov/39716125/,eng,,England,""BACKGROUND: Digital leadership might be an innovative approach to decreasing the elevated rates of anxiety and depression symptoms among medical professionals, while also enhancing their psychological well-being. This emerging pathway may offer promising strategies to support the mental health of medical professionals. This study seeks to investigate the association among digital leadership, organizational identity, family-work conflict, and anxiety and depression symptoms, and further to uncover the underlying moderating mechanisms interplay. METHODS: A cross-sectional online survey with 657 valid data were collected from four tertiary hospitals in Harbin, Heilongjiang Province, China, with a response rate of 69.3%. The statistical analysis was conducted employing IBM SPSS Statistics 22.0. Hierarchical regression analysis was performed to scrutinize the pertinent factors associated with anxiety and depression symptoms among medical professionals, while also evaluating the moderating influence of organizational identity and family-work conflict on the nexus among those. RESULTS: The prevalence of anxiety and depression symptoms among medical professionals was 50.1%. Anxiety and depression symptoms were negatively correlated with digital leadership (r= -0.278, p < 0.01) and organizational identity (r = - 0.318, p < 0.01), and positively correlated with family-work conflict (r = 0.445, p < 0.01). Organizational identity (ß = - 0.938, p < 0.05) and family-work conflict (ß = 0.698, p < 0.05) moderate the relationship between digital leadership and anxiety and depression symptoms"," The results of the simple slope analysis indicated that high organizational identity and low family-work conflict strengthened the effect of digital leadership on anxiety and depression symptoms among Chinese medical professionals. CONCLUSIONS: The prevalence of anxiety and depression symptoms among medical professionals was noted to be high. This study posits that strengthening digital leadership could apparently improve anxiety and depression symptoms among medical professionals. Moreover, it highlights the moderating role of organizational identity and family-work conflict in the relationship between digital leadership and anxiety and depression symptoms. These discoveries underscore the significance of implementing support and interventions to enhance the mental well-being of medical professionals, encompassing the cultivation of organizational identity, reduction of family-work conflict, and acknowledgment of the potential role of digital leadership in addressing mental health challenges."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12889-024-20992-x,""Humans",Cross-Sectional Studies,*Leadership,*Depression/epidemiology,Male,Female,*Anxiety/epidemiology,
,To do,202,"



Comitê de Etica Pesquisadores",,,,,Comitê de Etica Pesquisadores,"rayyan-197782532,Sorting Through the Safety Data Haystack: Using Machine Learning to Identify Individual Case Safety Reports in Social-Digital Media.,2018,6,,Drug safety,1179-1942 (Electronic),41,6,579-590,Comfort S and Perera S and Hudson Z and Dorrell D and Meireis S and Nagarajan M and Ramakrishnan C and Fine J,https://pubmed.ncbi.nlm.nih.gov/29446035/,eng,,New Zealand,""INTRODUCTION: There is increasing interest in social digital media (SDM) as a data source for pharmacovigilance activities"," however, SDM is considered a low information content data source for safety data. Given that pharmacovigilance itself operates in a high-noise, lower-validity environment without objective 'gold standards' beyond process definitions, the introduction of large volumes of SDM into the pharmacovigilance workflow has the potential to exacerbate issues with limited manual resources to perform adverse event identification and processing. Recent advances in medical informatics have resulted in methods for developing programs which can assist human experts in the detection of valid individual case safety reports (ICSRs) within SDM. OBJECTIVE: In this study, we developed rule-based and machine learning (ML) models for classifying ICSRs from SDM and compared their performance with that of human pharmacovigilance experts. METHODS: We used a random sampling from a collection of 311,189 SDM posts that mentioned Roche products and brands in combination with common medical and scientific terms sourced from Twitter, Tumblr, Facebook, and a spectrum of news media blogs to develop and evaluate three iterations of an automated ICSR classifier. The ICSR classifier models consisted of sub-components to annotate the relevant ICSR elements and a component to make the final decision on the validity of the ICSR. Agreement with human pharmacovigilance experts was chosen as the preferred performance metric and was evaluated by calculating the Gwet AC1 statistic (gKappa). The best performing model was tested against the Roche global pharmacovigilance expert using a blind dataset and put through a time test of the full 311,189-post dataset. RESULTS: During this effort, the initial strict rule-based approach to ICSR classification resulted in a model with an accuracy of 65% and a gKappa of 46%. Adding an ML-based adverse event annotator improved the accuracy to 74% and gKappa to 60%. This was further improved by the addition of an additional ML ICSR detector. On a blind test set of 2500 posts, the final model demonstrated a gKappa of 78% and an accuracy of 83%. In the time test, it took the final model 48 h to complete a task that would have taken an estimated 44,000 h for human experts to perform. CONCLUSION: The results of this study indicate that an effective and scalable solution to the challenge of ICSR detection in SDM includes a workflow using an automated ML classifier to identify likely ICSRs for further human SME review."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1007/s40264-018-0641-7,""Adverse Drug Reaction Reporting Systems/*statistics & numerical data",Blogging/statistics & numerical data,Data Mining/*methods,"Databases, Factual/statistics & numerical data",Drug-Related Side Effects and Adverse Reactions/*etiology,Humans,Internet/statistics & numerical data,
,To do,204,"



",,,,,,,,,,,,,,
,To do,218,"



Pesquisadores População Profissionais Comitê de Etica",,,,,Pesquisadores População Profissionais Comitê de Etica,"rayyan-197782576,Promoting Digital Health Data Literacy: The Datum Project.,2025,1,3,JMIR formative research,2561-326X (Electronic),9,,e60832,Powell D and Asad L and Zavaglia E and Ferrari M,https://pubmed.ncbi.nlm.nih.gov/39773678/,eng,,Canada,""With the increased use of digital health innovations in Canadian health care, educating health care users, professionals, and researchers on the ethical challenges and privacy implications of these tools is essential. The Datum project, funded by the Fondation Barreau du Quebec, was created to help these actors better understand legal and ethical issues regarding the collection, use, and disclosure of digital health data for the purposes of scientific research, thereby enhancing literacy around data privacy. The project consists of a multimedia website divided into legislation and policy documents and narrative-based video content. Users can access the core legislation and policies governing the collection and use of health care data geared toward researchers and health practitioners. Users can also view the narrative-based video content explaining key concepts related to digital health data. The Datum project makes an original contribution to the field of law and ethics in health science research by using novel approaches, such as learning health systems and data banks, to improve equity in health care delivery and by generating multimedia content aimed at encouraging health care users to become better consumers and supporting the collective use of their data. The Datum project also promotes digital literacy as a digital communication tool, which has the significant potential to improve health outcomes, bridge the digital divide, and reduce health inequities."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.2196/60832,Humans",*Health Literacy,Confidentiality/ethics/legislation & jurisprudence,Canada,"Digital Health,39773678,PMC11751694",,,,
,To do,225,"



População Profissionais",,,,,População Profissionais,"rayyan-197782589,Identifying no-harm incidents in home healthcare: a cohort study using trigger tool methodology.,2020,4,6,BMC health services research,1472-6963 (Electronic),20,1,289,Lindblad M and Unbeck M and Nilsson L and Schildmeijer K and Ekstedt M,https://pubmed.ncbi.nlm.nih.gov/32252755/,eng,,England,""BACKGROUND: Patient safety in home healthcare is largely unexplored. No-harm incidents may give valuable information about risk areas and system failures as a source for proactive patient safety work. We hypothesized that it would be feasible to retrospectively identify no-harm incidents and thus aimed to explore the cumulative incidence, preventability, types, and potential contributing causes of no-harm incidents that affected adult patients admitted to home healthcare. METHODS: A structured retrospective record review using a trigger tool designed for home healthcare. A random sample of 600 home healthcare records from ten different organizations across Sweden was reviewed. RESULTS: In the study, 40,735 days were reviewed. In all, 313 no-harm incidents affected 177 (29.5%) patients"," of these, 198 (63.2%) no-harm incidents, in 127 (21.2%) patients, were considered preventable. The most common no-harm incident types were """"fall without harm,"""" """"deficiencies in medication management,"""" and """"moderate pain."""" The type """"deficiencies in medication management"""" was deemed to have a preventability rate twice as high as those of """"fall without harm"""" and """"moderate pain."""" The most common potential contributing cause was """"deficiencies in nursing care and treatment, i.e., delayed, erroneous, omitted or incomplete treatment or care."""" CONCLUSION: This study suggests that it is feasible to identify no-harm incidents and potential contributing causes such as omission of care using record review with a trigger tool adapted to the context. No-harm incidents and potential contributing causes are valuable sources of knowledge for improving patient safety, as they highlight system failures and indicate risks before an adverse event reach the patient."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12913-020-05139-z,""Adult",Aged,"Aged, 80 and over",Cohort Studies,"Databases, Factual",Female,*Home Care Services,
,To do,226,"



População Pesquisadores",,,,,População Pesquisadores,"rayyan-197782590,Exploring effective patient feedback methods for eHealth in general practice.,2025,2,13,BMC primary care,2731-4553 (Electronic),26,1,40,Nasori M and Vossen MM and Holtrop M and Bont J,https://pubmed.ncbi.nlm.nih.gov/39948507/,eng,,England,""BACKGROUND: The use of patient feedback is essential for identifying areas for improvement and tailoring care to the needs of patients, particularly in the context of eHealth, which has increased in adoption due to the pandemic. However, challenges persist in collecting feedback from vulnerable groups, those with severe conditions, or language barriers. Furthermore, concerns exist about the credibility and validity of the feedback received. This study aims to explore various possible forms that general practitioners (GPs) could use to collect patient feedback on eHealth applications in their daily practice. METHODS: A Participatory Research (PR) was conducted involving an advisory group, patients, GPs and medical receptionists. The advisory group consisting of GPs, a board member, patient representatives and digital care manager affiliated with the primary care organisation 'Regionale Organisatie Huisartsen Amsterdam' (ROHA). The group provided input throughout the research process from the setup, data collection and interpretation to the finalization phase. Semi-structured interviews were conducted with 13 patients, 8 GPs and 2 medical receptionists. Participants were recruited through purposive sampling. Interviews were coded using Thematic Analysis. RESULTS: Four themes were considered important. First, timing of feedback. Gathering instant feedback immediately after digital interactions was considered important. Secondly, the feedback procedure, whereby feedback should be given through the same communication channel as was used for the doctor-patient contact was valued. Also, participants preferred short and specific surveys, in which they can remain anonymous. Thirdly, for the feedback content some key feedback topics included general experiences, quality of care and technical aspects. The last theme was advertisement. Overall, patients do not want to burden their GP and thus tend to only give feedback if initiated by their GP. GPs themselves pointed out to have limited time for collecting feedback from patients due to their workload. CONCLUSION: GPs can optimize the feedback collection process by selecting targeted questions and integrating them into existing eHealth applications, thereby investing minimal time from GPs and patients. It is recommended to include automatic selected questions at the end of e-consultations. This integrated approach allows efficient feedback collection without burdening GPs."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1186/s12875-025-02725-0,Humans",*Telemedicine,*General Practice/methods,Female,Male,*Feedback,Middle Aged,Adult,
,To do,235,"



Comitê de Etica Pesquisadores População",,,,,Comitê de Etica Pesquisadores População,"rayyan-197782627,Considerations for the Design of Informed Consent in Digital Health Research: Participant Perspectives.,2024,10,,Journal of empirical research on human research ethics : JERHRE,1556-2654 (Electronic),19,4,175-185,McInnis BJ and Pindus R and Kareem D and Nebeker C,https://pubmed.ncbi.nlm.nih.gov/39397541/,eng,,United States,""The research team, prospective participants, and written materials all influence the success of the informed consent process. As digital health research becomes more prevalent, new challenges for successful informed consent are introduced. This exploratory research utilized a human centered design process in which 19 people were enrolled to participate in one of four online focus-groups. Participants discussed their experiences with informed consent, preferences for receiving study information and ideas about alternative consent approaches. Data were analyzed using qualitative methods. Six major themes and sixteen sub-themes were identified that included study information that prospective participants would like to receive, preferences for accessing information and a desire to connect with research team members. Specific to digital health, participants expressed a need to understand how the technologies worked and how the volume of granular personal information would be collected, stored, and shared."",""RAYYAN-INCLUSION: {""""lualevale@gmail.com""""=>""""Included""""}"",10.1177/15562646241290078,Humans",*Informed Consent,Female,Male,*Focus Groups,Adult,Middle Aged,Qualitative Research,
,To do,264,"



",,,,,,,,,,,,,,
